origin,variety,process,acidity,body,sweetness,cup_total,source
Mexico,Typica,Washed / Wet,0.571,0.676,1.0,80.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Haiti,Typica,Washed / Wet,0.571,0.55,1.0,80.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Arusha,Natural / Dry,0.571,0.625,1.0,80.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Other,0.523,0.652,1.0,80.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Indonesia,Mandheling,Semi-washed / Semi-pulped,0.691,0.676,1.0,80.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.549,0.652,1.0,80.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.691,0.775,1.0,80.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Malawi,Caturra,Washed / Wet,0.549,0.601,1.0,80.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.571,0.577,1.0,80.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Natural / Dry,0.691,0.676,0.616,80.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.643,0.526,1.0,80.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.594,0.526,1.0,80.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.549,0.577,1.0,80.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.62,0.55,1.0,80.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,정보없음,정보없음,0.523,0.7,1.0,80.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,정보없음,정보없음,0.571,0.652,1.0,80.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.594,0.625,1.0,80.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Semi-washed / Semi-pulped,0.5,0.55,1.0,80.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Washed / Wet,0.62,0.625,1.0,80.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Natural / Dry,0.643,0.577,1.0,80.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.763,0.775,0.923,80.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.643,0.55,1.0,80.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Other,Natural / Dry,0.62,0.577,1.0,80.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Washed / Wet,0.549,0.601,1.0,80.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Washed / Wet,0.549,0.625,1.0,80.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mauritius,정보없음,정보없음,0.549,0.601,1.0,80.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,0.643,0.625,1.0,80.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Myanmar,Other,Washed / Wet,0.62,0.601,1.0,80.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Other,Washed / Wet,0.643,0.577,1.0,80.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,0.594,0.727,1.0,80.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.666,0.7,1.0,80.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.691,0.577,1.0,80.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.594,0.601,1.0,80.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,정보없음,정보없음,0.62,0.625,1.0,80.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.549,0.577,1.0,80.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,Bourbon,Washed / Wet,0.523,0.625,1.0,80.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
China,Other,Washed / Wet,0.549,0.625,1.0,80.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.571,0.601,1.0,80.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.625,1.0,80.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Caturra,Washed / Wet,0.594,0.601,1.0,80.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Burundi,정보없음,정보없음,0.594,0.55,1.0,80.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Bourbon,Washed / Wet,0.571,0.652,1.0,80.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.571,0.601,1.0,80.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Yellow Bourbon,Other,0.571,0.601,1.0,80.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.643,0.526,1.0,80.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Semi-washed / Semi-pulped,0.594,0.625,1.0,80.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Washed / Wet,0.594,0.727,1.0,80.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,정보없음,0.594,0.676,1.0,80.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Catuai,Natural / Dry,0.523,0.526,1.0,80.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Natural / Dry,0.5,0.652,1.0,80.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Caturra,Washed / Wet,0.594,0.625,1.0,80.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Myanmar,Other,Natural / Dry,0.594,0.55,1.0,80.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Myanmar,Catuai,Natural / Dry,0.5,0.577,1.0,80.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,Caturra,Washed / Wet,0.571,0.676,1.0,80.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.691,0.652,0.923,80.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Typica,Washed / Wet,0.714,0.85,0.847,80.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Semi-washed / Semi-pulped,0.571,0.577,1.0,80.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Washed / Wet,0.594,0.526,1.0,80.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Caturra,Washed / Wet,0.571,0.45,1.0,80.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Vietnam,Catimor,Other,0.666,0.652,1.0,80.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,Caturra,Washed / Wet,0.594,0.601,1.0,80.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Washed / Wet,0.549,0.55,1.0,80.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.549,0.577,1.0,80.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.62,0.601,1.0,80.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.55,1.0,80.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.523,0.601,1.0,80.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.594,0.526,1.0,80.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.594,0.727,0.923,80.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Pulped natural / honey,0.549,0.601,1.0,80.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.549,0.526,1.0,80.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,정보없음,Natural / Dry,0.571,0.577,1.0,80.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Other,0.571,0.55,1.0,80.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.5,0.601,1.0,80.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Semi-washed / Semi-pulped,0.523,0.577,1.0,80.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.523,0.55,1.0,80.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.549,0.625,1.0,80.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,Caturra,Washed / Wet,0.523,0.652,1.0,80.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Myanmar,Other,Washed / Wet,0.62,0.577,1.0,80.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.676,1.0,80.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.5,0.601,1.0,80.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,정보없음,Washed / Wet,0.62,0.652,1.0,80.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.549,0.625,1.0,80.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Other,Washed / Wet,0.594,0.55,1.0,80.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,정보없음,0.763,0.751,0.847,80.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,Washed / Wet,0.714,0.775,1.0,79.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.477,0.625,1.0,79.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.594,0.652,1.0,79.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Other,Washed / Wet,0.571,0.625,1.0,79.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.549,0.601,1.0,79.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Catuai,Washed / Wet,0.523,0.676,1.0,79.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Natural / Dry,0.62,0.577,1.0,79.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Mundo Novo,Washed / Wet,0.666,0.625,1.0,79.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.62,0.676,1.0,79.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL34,Washed / Wet,0.549,0.601,1.0,79.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.594,0.601,1.0,79.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,Caturra,Washed / Wet,0.477,0.676,1.0,79.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.571,0.676,1.0,79.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.549,0.676,1.0,79.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.666,0.625,0.923,79.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Natural / Dry,0.594,0.727,0.847,79.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.5,0.577,1.0,79.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,정보없음,Washed / Wet,0.643,0.55,1.0,79.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Peru,정보없음,Washed / Wet,0.571,0.676,1.0,79.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Catuai,Washed / Wet,0.714,0.727,1.0,79.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.5,0.676,1.0,79.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.666,0.676,1.0,79.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.549,0.577,1.0,79.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.523,0.577,1.0,79.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.523,0.55,1.0,79.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.594,0.526,0.923,79.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.523,0.601,1.0,79.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.666,0.652,0.923,79.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,Bourbon,Washed / Wet,0.451,0.625,1.0,79.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,정보없음,Washed / Wet,0.62,0.577,1.0,79.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.523,0.55,1.0,79.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.666,0.577,1.0,79.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Caturra,Washed / Wet,0.429,0.55,1.0,79.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Mundo Novo,Washed / Wet,0.549,0.55,1.0,79.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,Peaberry,정보없음,0.5,0.601,1.0,79.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.594,0.601,1.0,79.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Caturra,Washed / Wet,0.594,0.601,1.0,79.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.429,0.577,1.0,79.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,정보없음,정보없음,0.594,0.601,1.0,79.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,Caturra,Natural / Dry,0.62,0.601,1.0,79.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Natural / Dry,0.5,0.652,1.0,79.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.62,0.727,1.0,79.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Caturra,Washed / Wet,0.571,0.7,1.0,79.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.571,0.577,1.0,79.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.666,0.625,0.923,79.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Other,Washed / Wet,0.5,0.526,1.0,79.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.62,0.625,1.0,79.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Cote d?Ivoire,정보없음,Washed / Wet,0.5,0.625,1.0,79.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.571,0.652,1.0,79.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.594,0.652,1.0,79.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.549,0.55,1.0,79.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.571,0.7,1.0,79.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.571,0.652,1.0,79.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.549,0.577,1.0,79.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.62,0.676,0.923,79.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Washed / Wet,0.477,0.526,1.0,79.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.62,0.526,1.0,79.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Catuai,Washed / Wet,0.571,0.526,1.0,79.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Catuai,Washed / Wet,0.786,0.601,0.616,79.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.523,0.577,1.0,79.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.523,0.577,1.0,79.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,정보없음,0.571,0.7,1.0,79.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.62,0.727,0.847,79.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Puerto Rico),Other,Washed / Wet,0.594,0.625,1.0,79.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.571,0.625,1.0,79.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Mundo Novo,Washed / Wet,0.594,0.652,1.0,79.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.549,0.601,1.0,79.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Other,Washed / Wet,0.62,0.55,1.0,79.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Pacas,Washed / Wet,0.5,0.526,1.0,79.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Peru,Typica,Washed / Wet,0.571,0.826,0.923,79.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Mundo Novo,Natural / Dry,0.571,0.577,1.0,79.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Semi-washed / Semi-pulped,0.643,0.601,1.0,79.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.571,0.577,1.0,79.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.523,0.577,1.0,78.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.523,0.502,1.0,78.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,Caturra,Other,0.5,0.526,1.0,78.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,Natural / Dry,0.571,0.7,0.923,78.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.571,0.526,1.0,78.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.5,0.577,1.0,78.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Semi-washed / Semi-pulped,0.571,0.55,1.0,78.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.594,0.7,0.847,78.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
China,Typica,Washed / Wet,0.549,0.577,0.923,78.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Caturra,Washed / Wet,0.571,0.577,1.0,78.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,정보없음,정보없음,0.451,0.55,1.0,78.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,정보없음,Natural / Dry,0.429,0.601,1.0,78.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Other,Washed / Wet,0.666,0.601,1.0,78.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.571,0.526,1.0,78.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.594,0.502,1.0,78.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.763,0.802,1.0,78.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.62,0.45,1.0,78.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.477,0.601,1.0,78.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.5,0.526,1.0,78.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Caturra,Washed / Wet,0.451,0.7,1.0,78.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Catuai,Natural / Dry,0.523,0.502,1.0,78.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.549,0.625,1.0,78.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.737,0.802,0.847,78.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Other,Washed / Wet,0.5,0.577,1.0,78.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.549,0.526,1.0,78.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Natural / Dry,0.643,0.625,1.0,78.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.571,0.625,1.0,78.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.666,0.676,0.847,78.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.643,0.727,0.923,78.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Indonesia,Java,Washed / Wet,0.477,0.502,1.0,78.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.571,0.601,1.0,78.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Yellow Bourbon,Washed / Wet,0.549,0.676,1.0,78.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Pacas,Natural / Dry,0.5,0.526,1.0,78.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.62,0.676,0.923,78.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Other,Washed / Wet,0.594,0.526,0.923,78.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
China,Typica,Washed / Wet,0.523,0.625,0.923,78.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.549,0.426,1.0,78.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Other,Washed / Wet,0.5,0.601,0.769,78.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.549,0.727,0.923,78.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.5,0.55,1.0,77.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.5,0.601,1.0,77.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.523,0.625,1.0,77.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,정보없음,정보없음,0.549,0.55,1.0,77.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,정보없음,Washed / Wet,0.451,0.55,1.0,77.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.549,0.474,1.0,77.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.594,0.625,1.0,77.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,Natural / Dry,0.691,0.652,0.539,77.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.429,0.474,1.0,77.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.5,0.502,1.0,77.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.666,0.7,1.0,77.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Other,Washed / Wet,0.549,0.577,0.923,77.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.5,0.502,1.0,77.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Haiti,Typica,Washed / Wet,0.429,0.502,1.0,77.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,Natural / Dry,0.406,0.7,1.0,77.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Other,Washed / Wet,0.571,0.625,1.0,77.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Peru,Caturra,Washed / Wet,0.691,0.802,0.923,77.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
India,정보없음,Natural / Dry,0.406,0.577,0.616,76.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,정보없음,0.451,0.526,1.0,76.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
